,Review
712,"1/10 | I haven't been to the movies since Captain America: Civil War but this movie here is worth seeing in theaters. I was skeptical at first Jordan Peele directed the movie and he's more of a comedic guy. He showed his comedic side in the movie and it was what a thriller like Get Out needed. It was very satirical and it kept me on the edge of my seat throughout the movie. Once the movie ended I told myself that I would see it again in theaters. Best movie I've seen in awhile.
9 out of 19 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
713,"6/10 | Talk about a major batten switch for a celebrity. Jordan Peele who is usually known for acting in comedies, goes the complete other way. However this film isn't all scary like The Conjuring. But what this film does masterfully is building up the tension. This film made me feel very uncomfortable and very uneasy, which is what it's meant to do and does it to a T. In terms of acting Catherine Keener, and Daniel Kaluuya give the best performances. Keener is very subtle and slow with her words making her character very creepy. And Kaluuya gives a frightful and ultimately terrifying performance and plays a character you actually rout for. If you are a horror film fanatic, this is what you're looking for. The only flaws are that the villains are killed off way too easily, making the last fight for survival a weak one. But for the fact that this is Peele's first film to direct, this is as good of a debut as you can ask for. I can't wait to see what else Peele can do. Check it out, or get out! Now to grade. Acting: B+ Music: B Directing: A+ Effects: A- Scare Factor: A OVERALL: A
9 out of 19 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
714,"1/10 | Instead of spoiling anything, I just feel like telling you a story of mine considering race. I have myself been working with movies, and one experience I have is how I needed to find a better lighting guy. You see, as soon as we put a black person in front of the screen, the lighting guy just didn't know what to DO. It wasn't about race or anything, he just couldn't figure out how to make the lighting look good on any black actress. It just didn't work on screen. Now I have been waiting for this movie forever, and I am a white privileged man –however white trash-but I live in a racist underdeveloped country (Sweden, oh the irony) so I found it necessary this morning to just download a shitty cam version of it, and all I can think of is how beautifully lit it is even on a cam version, how the light reflects so well on those ebony bodies even in the dark scenes, their white teeth, their genetic frame and whoops we are back into race again. This movie is very subtle, but always constant, in its remarks on unconscious racism. The direction is ever so slightly off beat sometimes to be subtle, perhaps because it handles issues almost too absurd to handle,but it is truly on the top in the absurdist horror genre right up there with films such as It Follows, The Babadook, and Scream. What this film eventually does is asking the big questions, like where consciousness is even located, which made me respect the script even more. Big ups to Jordan Peele, I seriously didn't think he had this in him, except for the occasional brilliant Key and Peele sketches such as Lil' Homie. Give this nigga an Oscar already. Since these are big questions to handle it never gets too gory, and the slight nuances in the acting is superb. Catherine Keeners evil goddamn chuckle as we remember it from films such as Being John Malkovich is right on spot, and Dexter's sister is brilliant in voice control (the phone scene!). All this being said, there is a contraption men can wear nowadays that with small electrodes let you feel what it is like to have a vagina and go through a period. This movie is as close you can get (apart from wearing a blackface?) from understanding racial tension nowadays. An important and very entertaining movie. You got soul."
715,"9/10 | Jordan Peele proves he's more than just a comedian, that he is an exceptional writer and director. And Get Out is proof of that, it really pulls out all the stops of a great thriller, keeps you shaking through out. After Get Out I believe Jordan Peele will become a sought after writer/director.

Chris(Daniel Kaluuya) a young African American goes with his white girlfriend named Rose(Allison Williams) to meet her parents(Bradley Whitford and Catherine Keener) in there hometown, and once they finally get there things start taking a turn for the weird, believe me that is far has I should go.

You'll feel like the main character, that where you are, feeling like things are not what they seem. The Creepiness just creeps up on you. Daniel Kaluuya is great, so is Allison Williams. Catherine Keener is awesome, so is Bradley Whitford, looking like Michael Gross from Family Ties. We'll done directional debut for Jordan Peele."
716,"5/10 | I love suspense movies but the good ones, the intelligent ones, and this is exactly that! An intelligent movie with a lot of jumps! It kind of reminded me ""The skeleton key"" with Kate Hudson, but ""Get Out"" liked me better! ""Get out"" is well written, well acted and well directed. You will not be disappointed, go watch it now! I went with my teen daughter and we both enjoyed the most!
9 out of 19 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
717,9/10 | 
718,"9/10 | I'll start by saying that I really enjoyed this movie... and I mostly agree with (so far) the majority of reviewers positive comments about great casting, acting, writing and suspenseful story. I totally recommend seeing this movie... but you WILL be offended and probably not want to see this movie if:

you are ""uncomfortable"" with interracial relationships- specifically between a Black man and White woman. This is actually sort of a theme in this movie, since many such relationships are depicted... including lots of smooching and a sex scene.


you can't handle nearly every White character being vilified as ""evil"" (or racist) toward Black people. This is the director/writer's (Jordan Peele) type of humor, so if you can't handle Whites being ""made fun of"" or stereotyped, then steer clear of this one.


Although there were a few previews for movies that are likely targeted more toward Black audiences (humor and culture-wise), this movie has a broader appeal just as long as the viewer doesn't have a big chip on their shoulder, and ""gets"" Jordan Peele's type of humor."
719,9/10 | 
720,"9/10 | Out of all the possible genre combinations, horror and comedy are probably the most difficult to combine. I'm not sure if first time director Jordan Peele impresses more with that particular balance, or with his ability to effectively display social commentary.

Blumhouse Productions is putting together quite the resume. Their films continue to make bank at the box office, but the diversity of their horror features are nothing to scoff at either. Just in the last few years alone they've made films like The Gift, The Visit, Split, and now Get Out. All original twists on the horror/thriller genre. Get Out may be the most impressive yet.

I always talk about my disconnect with the horror genre and how I don't find much substance with 75% of the films. Get Out turns the genre on its head, doesn't rely on jump scares, is surrounded by tremendous performances, and has a socially relevant script. It is so rare for a film to have a socially relevant message without feeling too political or one sided. I can't tell you how many times I've appreciated what a film or a TV show is saying, but I get turned off by the way it's portrayed. Get Out manages to make an entertaining horror/thriller, while also commenting on unintentional and benevolent racism coming from a white family towards their daughter's new boyfriend, an African American.

It's the racism most people don't normally think about. The people who say they aren't racist because they ""voted for Barack Obama"" or maybe because ""Tiger Woods is their favorite athlete"". Films like 12 Years of Slave and the recent documentary, 13th, are important. But it's films like Get Out that are more effective because they are giving the same message in a different way. Brilliantly written and structured, Peele gets the most out of his actors and times the laughs and scares in an effective manner. Please go out and support an original film like Get Out. You won't be disappointed.

+Original

+Laughs and scares

+Really well acted

+Pacing

9.1/10"
721,"8/10 | This film reminds me a bit of the films of the 80's like ""Fright Night"" comical yet horror base. It does however pull punches in themes and topics that are definitely relevant to the current administration of the US and the people who voted for it. Yet, its more than that. The obvious, is that this film is about racism. The racism in this film is as obvious as a welcome and a smile in a West Texas town. That should give you an idea if you have been to west Texas. There is much to talk about here after watching the film. I can understand why reviewers here don't want to say too much. I do just want to say that you may leave the theatre having a little bit more respect for TSA training.
17 out of 42 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
722,"1/10 | Did I see the same movie everyone else did? When I saw the trailer for this movie a few months back I really didn't plan on seeing it because I thought it looked like every other horror movie and there wouldn't be anything special about it. Then it came out and got raving reviews and I felt like I had to see it. So I saw it and I was a bit disappointed. I loved the first half of the movie, but I kind of felt like the second half missed the mark. I thought the comedy aspect was a little dull and I didn't think the jokes were great. I actually couldn't really tell if the whole movie was a big joke or not. But one thing this movie did do was keep me entertained. The whole movie I was wondering what was going to happen next and what was happening. I didn't think about anything outside the theater and I was completely focused and entertained by the movie, which is what a movie is suppose to do! I would recommend this movie, I thought it was really good, but I didn't think it deserved a 10 star review or that it was the best horror movie of all time. 6.5 stars!
10 out of 22 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
723,"6/10 | Just boring. Nothing happens until 1h10min and it is just unbelievable I really dont understand why this film was so hyped.

Don't see this movie.
7 out of 14 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
724,1/10 | 
725,"1/10 | I just came back after watching this incredibly intelligent psychological thriller called Get Out. You could call it a horror film as the more generic elements that are seen in a horror film are present in this movie but this film is so much more than just a scary movie. Most of the scenes in this film are centered around the follow four actions (a) denial : Secrets are suppressed: (b) deceit : Secrets are revealed (c) submission : Secrets make the protagonist vulnerable (d) retaliation : Secrets make the protagonist strong

Daniel Kaluuya, the lead actor, has played his role to stupendous perfection. I remember having seen him play Emily Blunt's FBI colleague in Sicario but that time my focus wasn't really on him so I had kind of missed out on appreciating the man's ingenious acting talent back then. This time though, we as an audience are transported into Daniel's mind and we, in a way, view the entire film from his character's confused perspective. Considering how he has conveyed certain emotions in this film, we might as well presume that he could be in the race for a Best Actor Oscar Nomination next year. Yes, he is that good.

Can anybody who saw this film believe that this is Jordan Peele's debut film as a director ? If this is what his first film turns out to be, I am confident he will go on to become one of the greatest auteurs Hollywood has seen till date. I am so happy that this movie has minted so much money at the box-office. It deserves every penny it has earned. I have patiently waited for this film to release and now that I have seen the film, I can surely tell you that my patience has paid off. ""Get Out"" of your homes and watch the movie right now"
726,"9/10 | Wasted two hours, hope you don't. I don't mind a couple of plot wholes but this ""movie"" is full of them
5 out of 9 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
727,"7/10 | This is an enjoyable enough, 7 out of 10 movie that gets elevated to 9/10 after I read the reviews from the triggered, white, casual racists who suddenly found themselves feeling very insecure, uncomfortable and angry after watching this film.

Guys... it's just a movie. I think you'll find black people have had to put up with negative, racially biased imagery in the name of entertainment on the big screen for decades.

Very amusing.
5 out of 9 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
728,"4/10 | Watched this for the first time and I have to say that for a debut director Jordan Peele has done an excellent job, ignore these ridiculous 1/10 scores. Get Out is an addictive slow burn and it was great fun trying to figure out what was going to happen to our hero, very well played by Daniel Kaluuya. The film packs in some good, genuine scares but also has a fair share of humour. Good combination. Story wise it reminded me somewhat of The Stepford Wives but it is also quite original. Great stuff, I'm looking forward to seeing Peele's latest offering, Us.
5 out of 9 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
729,"8/10 | It contained many elements that progressed the plot along. There were many things throughout the movie that foreshadowed the direction of the plot and things throughout the movie symbolized things in real life. It's not only a movie that is supposed to shock the viewers modern perspective of racism in today's society and how someone could get away with the atrocities committed in this film. If you pay attention closely to the concepts mentioned in this movie you can get a lot more out of it then just the face value
5 out of 9 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
730,"3/10 | ""Get out"" is a movie that came out last year and is directed by first time director Jordan Peele. This film is about an interracial couple between a black man (Daniel Kaluuya) called Chris and a white woman (Allison Williams) called Rose, and now Chris with Rose go on vacation at the house were there parents live . In that house Chris meets Rose's family and he doesn't feel so comfortable in this environment, he feels awkward and weird and that is meanly because he is black. And later on in the movie we find out some deeps secrets about this family and maybe some dark stuff is going to get him.

Now look, before i saw this film i was really excited, because i watch some of the review from professional critics and they were saying that this film was a masterpiece, a unique experience. In Rotten Tomatoes this film has 99%. So this film instantly went into my radar but i didn't have the chance to see it until this year. And now the Academy Awards nominated this film for four Oscars including Best picture, director, actor and screenplay. This film supposedly had all positive, and now i got the chance to watch it and...well, this is my viewpoint.

I don't hate ""Get Out"", i think it is a good movie, but i don't think it is a great movie. I was kind of disappointed with this film to be honest. But let's talk about the positives things first.

Daniel Kaluuya gave a terrific performance here, thought out this film we see this character progress and change, and i did care about him in some of hard-core scenes, he did a good job. Jordan Peele's direction was good, there are some things in this film that kind of reminded me of the way Stanley Kubrick directed his films. From the way the opening scenes were going along i was enjoying it. From the way the shots are made and the amazing score, it feel like i was watching a horror film from the 90's. The tension and the suspense surrounding this house and this family is very well done and when a character is in danger you feel that danger. This movie also knows how to make the comedy pop, in movie like this you expect to see the scary things pop out , and this movie does that, but also knows how to make the film funny at times. And you laugh when you are suppose to be laughing, there is not weird sentiment of: We should be laughing or should be scary? - The film doesn't do that.

That is what i loved about this film, but, as always, this film has flaws. I think that the major problem that i have with this film is the tone. This film for the majority of it is a suspense movie, things pop out, weird stuff happens. But in the final scene of the movie, it feels like a completely different film. I not going to spoil it of course, but for me just didn't work and i felt that the end of the film was kind of messy. Another flaw with the film for me is LilRel Howery's character. In this film he plays a friend of Kaluuya's character and he is always talking in the phone, and for the majority of the film his character was very funny and Howery was doing a good job as this character, i felted that by the end is was useless. I mean he does things in the movie for sure, but he didn't added to much to film beside some funny jokes and thats it. I also felted that this movie was a little too long, and there are some scenes were Chris goes out of the house to take pictures of things because he is a photographer, and from that scenes, i'm out. There are boring and it doesn't help too much to the film.

Guys, like i said at the beginning of my review, i don't hate this movie. But i thinks is getting a little overrated. The hype and excitement for this movie is putting this film very high and in my opinion it doesn't deserves it. My best way to describe this film is comparing it with another film i saw a couple years ago called ""American Sniper"", that film got a lot of positives reviews, got academy awards nominations, and it was put as an amazing war film. But when i saw it i was kind of disappointed with that film too. That is my exact feeling with this movie, for me ""Get Out"" is 2017's ""American Sniper"". Is a good film for sure, but is not a great one. But as always i'm just giving my honest opinion here. If you loved this movie, good for you, if you hated this movie, good for you also, all the opinions are welcome here. For me this was good horror movie and i had fun with it at times, and because of that i'm going to give this film a 7/10."
731,8/10 | 
732,"1/10 | OK, we all know what means to be a racist but this is another story in comparison with this film... In fact, we watch a movie that's really obvious what is going to happen every minute after minute and that's boring! As about the director, he seems to think that white people are like monsters and blacks are cool and dudes... It's really funny how bad and not realistic builds his characters and how predictable the script is. In general, he does the same thing he accuses white people do! Bad white people are looking for black servants, if this is not a cliché, what really is a cliché??? And how stupid is the fact that all the white behave the same? White people are not a community, in the real world, there are good white people and bad white people. Rich white people, poor white people. Beautiful white people, ugly white people and the opposite. There are good black people and bad black people! Rich black people, poor black people etc etc... In general, if you think yourself as a smart guy or girl, avoid watching this movie! It's really meaningless and disturbing (and no, i am not a member in Ku Klux Klan!!!).
12 out of 28 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
733,"1/10 | Watched this movie with my friend and we had no clue what the movie was about when we entered. We just sat in the theater, and watched. After watching the move, we've been talking about it the last 3 days.

All these sensitive people are pretending that the movie was trying to prove something or is insulting to white people. The movie isn't trying to prove or show anything. It's just a movie. No one listen to those people who thought it was misinterpreting of white people. Those people just want to complain about something.

The movie doesn't use Cgi monsters or demons to make it scary. What makes the whole movie scary is that they make every character so awkward and sketchy that it starts creeping you out. What I find makes the movie stick with you after, is when you realize that everything progressed in a realistic way. For most of the movie, you don't know who's the real bad guy. Also, the main character knows something is up right away. Most horror movies are just a repeat of the main character ignoring all the crucial clues to get out. You realize the main character did everything he could in this movie, which makes the movie seem so real.

In conclusion, If you just watch the movie and forget about all that stupid slavery and white family talk, you'll enjoy it."
734,"3/10 | Instead of the victims being white women and the sinisters being white men, the victims are black men and the sinisters are ALL white people. With the token Asian, of course.

Another slam dunk for Racism. Good job.
8 out of 17 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
735,"6/10 | I did not like this movie. Let's just say this movie angers me, a lot. Like a whole lot. I am going to say this now and especially more than once: Hollywood needs to go back to being apolitical. Sorry I was just joking. I said that only once because I don't want to be accused of a being a racist. This movie is proof, that we are never going to see anything in the horror genre that isn't propanganda ever again. Also I find it funny that someone is going to have an irrational and violent problem with my negative opinion about this movie. Huh. No coincidence at all when it comes to the very liberal-leaning side I agree with to be trying to turn itself fascist, racist and sexist.
8 out of 17 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
736,"1/10 | Jordan Peel's writing and directing were promising. I expected a hilarious horror movie, which I like a lot. Or at least (according to high ranking on IMDb) a very good horror movie. None of these. The first thing – this is not a horror movie. Maybe just a little bit. The second thing – this is not a comedy either. This one is too serious for a comedy. There were some jokes, but I didn't think the jokes were funny enough. I'm not an American, and sometimes I enjoy some little racist jokes in American movies. But all of these were so much stereotyped and clichéd According to what Jordan Peel said about this movie, he was inspired by the Night of the Dead (1968). As to me, this was more a poor Jango remake. Pros: Acting is very good. Story looks original. That is it. Cons: It's not a Horror movie. Not much of Mystery genre here too, because it's too obvious. Thriller – a little bit. Not funny. Some poor pacing. Writing sucks too much.
8 out of 17 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
737,10/10 | 
738,"10/10 | Worst movie of 2017 . don't see this.......................................................................
9 out of 20 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
739,10/10 | 
740,"7/10 | This was pretty awful! I found myself giggling throughout this movie for the wrong reasons! None of the characters were believable especially the family. Like the father or son - you just wanted to give them a slap but only because their characters were ridiculous! It was so over the top it just oozed cringe. The main character did not have anything to like about him.

That said, I guess some people will love it, but if you have any form of intelligence you will see its flaws.

As for it being a horror movie - there were maybe two jumpy bits in the entire film. Nothing creative - just a loud string staccato out of the blue to keep your heart at check.

The only good thing about this movie was the hot girlfriend! played by Allison Williams. I predict she has a great career ahead of her.

Watch it if you want a giggle - but don't expect anything exciting!"
741,"10/10 | I wasn't sure when I saw the trailer. It had the potential to be one of two things, either a very clever psychological thriller, or a puff piece telling us how all white people are evil.

I'm glad to report, that it's the former. This is a cracking film.

The set up; a young black guy is about to meet the family of his white girlfriend for the first time. He's a little apprehensive, but she assures him that it'll be fine, her parents are anything but racist, in fact her dad would have voted for Obama for a third term if he'd been allowed too. But, when they get there, things don't seem quite right, it's hard to explain why, but something's definitely wrong.

Daniel Kaluuya (nice to see an English guy in an American film not playing the bad guy) plays Chris, our poor unsuspecting boyfriend. He is the lynch pin to the story, everything revolves around him, and he's superb. Allison Williams plays Rose, the girlfriend.

If you've seen the trailer you'll know that Rose's family live in the whitest of white neighbourhoods, the handful of black people that do live in the area, seem to be acting very oddly indeed.

This is another film with a small budget. There have been a few recently, and I'm starting to believe that some films just spend money for the sake of it, sometimes at the expense of telling a story. Get Out cost somewhere around $5,000,000 to make. As I write this, it's apparently taken more than $130,000,000 in the USA alone. This shows just what you can do with a well written script, some good acting, and some high-quality production values, if you have all that, then you have a really good piece of work on your hands. There are also very few special effects in this film, and those that are used, are very simple, you could probably recreate them on your phone. The film relies on its astute writing, and that's a great thing.

I was just asked if this is a horror? No. I don't care what IMDb says, I don't care what anyone else tells you, Get Out is a thriller, and a good one at that. There is very little in the way of blood and guts violence, it's all about atmosphere, about a palpable creepiness factor. There are points where it's actually hard to watch. There was also one moment that springs to mind, that caused popcorn fly around the theatre, but even that wasn't a horror moment, it was a great use of sound.

The story is a good one. The production values are lovely. It's creepy, it's funnydid I mention the humour? The interactions between Chris and his best friend Rod (LilRel Howery) are wonderful. They might be a little over the top at times, but if you took this situation and transposed it into real life, then it would be pretty surreal, it would be over the top, so oddly, those moments fit in beautifully with the rest of the film.

Get Out isn't just Chris on his own, it's also filled with a litany of wonderful performances. Everyone portrays their character perfectly. Roses parents walk a fine line between seeming awkward and menacing. Her brother is an off the wall loon. The other local white people are so odd, even for rich white people. As for the few black people that Chris meets whilst he's there, wow, they would make anyone feel uncomfortable.

The score is powerful, I can't think of a better way to describe it, it adds so much to the feel, to the atmosphere. The story moves along at a good pace, there isn't time for you to switch off or get bored. In fact, the story is key here, you think you know what's going on, but things aren't quite what they seem, even in a film that is based around the concept of things not being as they seem, and the film is clever in the way that it let's go of its secrets, you find out when Chris finds out, because of that, you really feel a part of the narrative, it draws you in.

I was worried that this was going to be a film that states that all white people are racist, and this is evidence of how far they'll go. But its not, it's so much more than that.

I don't want to go into details, but there are moments when you're thinking ""how are you going to get out of this one Chris?"" It brings out genuine intrigue, it makes you think, it keeps you on your toes.

I really liked it. I'm not going to do what a friend of mind would do, and scream ""it's the film of the year!"" from the highest point I can find, but it's defiantly up there as one of the best of the year so far. At 104 minutes, it's not a very long film, but like everything else about it, it seems just right.

This is well worth watching, in fact I'd say you're an idiot if you pass up the opportunity to see it.

A wonderful film."
742,4/10 | 
743,"9/10 | Holy crap this is a good movie. Admittedly, it's been a little while since a down and out great film has graced the screen with its presence; and longer still since a great, mainstream American horror movie has so effectively clutched the collective pearls of moviegoers across this country. Thus sounding off on this film might just be the product of being starved for truly awesome content. Still, the nerve of this movie; the brazen, gargantuan balls of this freaking movie – they're a thing of beauty.

Those who have glanced Get Out's chilling trailer will no doubt know the setup. A black man named Chris (Kaluuya) is brought to the childhood home of his white girlfriend (Williams) in order to charm her upper-crust bourgeois parents. She insists there will be no issues, though it's obvious to Chris and everyone else in the room she's being just a tad naive. Consequently when the couple drives up to the stately family manor on the lake, he suspects little other than the usual barrage of forced, vaguely racist pablum. Yet the longer he stays, the more Chris notices everyone around him seems to be acting rather peculiar; including and especially local blacks who behave more docile and compliant than he's used to seeing.

Using razor-sharp social commentary, quick-witted humor and good 'ol fashion suspense; Get Out has all the hallmarks of an above-average, turn of the century horror film. It balances its blunt themes with a lot of expressive imagery and a consistent tone of protracted, off-kilter foreboding. Between Catherine Keener's hazy somnambulism and Bradley Whitford's subtle coaxing the movie quietly spins on an ever tilting axis of weirdness. Every time that spin slows or the film's center conflict starts to wear thin, we're treated to the bizarre, show-stopping conduct of Betty Gabriel, Marcus Henderson and a particularly good Lakeith Stanfield to keep everything head-cockingly strange. And at the front of it all is Daniel Kaluuya who remains understated throughout, though his smirk can't help but channel Sheriff Bart's in Blazing Saddles (1974).

The obvious comparison here however would be The Stepford Wives (1975), which attempted to do for gender politics in the 70's what Get Out does for racial politics today. The difference here is while one faltered in the realm of active, engaging storytelling, this movie keeps use glued to the screen from start to finish. Its escalating stakes and clever little setups and executions become the glue that holds Get Out together as it wades through the treacherous waters of third-act fatigue. Instead of veering bigger and louder like A Cure for Wellness (2017) does, Get Out keeps its tone and relies on its atmosphere and those sweet, sweet payoffs to tickle your brain and keep you invested.

And boy is this, a tense and engrossing film. It aptly juggles all of its various mission statements in a way that is both enthralling and surprisingly polished. Director Jordan Peele (of Key & Peele fame) slips into the directors chair as if it were a second calling. His technical prowess is reminiscent of early Shymalan only with narrative twists and turns that feel organic instead of back-breakingly absurd.

His freshman film is liable to leave appreciative audiences with a gregarious feeling of catharsis while leaving the rest of us in a state of shock. As for me, I left feeling I have witnessed a movie about as subversive as Brotherhood of Death (1976), made by a director hell-bent on proving that comedy, horror and social awareness are not as far apart as you'd think."
744,"9/10 | I just saw Jordan Peele's directorial debut ""Get Out"" last evening in my local theater and I was blown away by how clever, funny, insightful, and of course unsettling it was. It was deliciously weird, eerie, and clever from the very first scene to the last, as I sat transfixed by the events occurring on the screen. Watching the trailers and seeing the first two acts of the film made me think something quite different from what the film actually turned out to be, and I have to commend Peele for being able to pull that off so well. It's rare that my predictions for the ""twist"" or finale to a movie are so off the mark!

But focusing on the plot itself, it follows a young black man named Chris (Daniel Kaluuya), who is actually British in real life but I never would have guessed had I not seen interviews with him, another testament to his incredible acting prowess, and his white girlfriend Rose (Allison Williams) who have been dating for five months and decide it's time for Chris to meet Allison's upper class, bourgeois-type parents (Bradley Whitford and Catherine Keener) who live on a large family estate in an affluent suburb. This affluent suburb also happens to be the location where several black people, mostly men, have gone missing for many years, vanishing under mysterious circumstances. Chris is a bit hesitant and nervous because Rose has apparently not told her parents that she is dating a black man, but she assures him that everything will be fine and they are definitely not racist.

However, immediately after they arrive, Chris quickly realizes, more and more over the course of his little ""visit"", that they may not be overtly racist they do hold certain views towards black people that are a bit odd to say the least. Coming from a satirical perspective as Peele, who also wrote the film, has stated, Chris, and indeed the audience, isn't sure how to take some of the things they say, whether or not they are just snide, off-hand remarks or hinting at something more sinister going on behind the polite, cheerful, Stepford-esque facade. In addition to the family itself, there are also two black servants, Walter and Georgina, who also seem incredibly ""off' as if something isn't quite right in their heads. They seem too polite, too well-spoken, and too ""white"", for lack of a better term, to Chris, who nevertheless tries to maintain his composure and hide his true thoughts to his girlfriend, and the family in general.

Unfortunately, as Chris soon finds out, he has every reason to feel paranoid. At a garden party, another black man who seems oddly familiar to Chris, temporarily snaps out of his robotic persona and desperately screams at him to ""Get Out!"" before it's too late. He quickly realizes that something is terribly wrong and that his very life, or at least his mind, might be in jeopardy.

I have rarely seen a film where just about every single member of the cast, from the main protagonist, antagonists, and side characters give outstanding performances, performing all the little nuances and quirks of their character to an absolute T. This definitely includes Chris's friend Rod (Lil Rey Howery), who provides most of the comic relief of the film, but is also able to carry on the more dramatic scenes effectively. Also, I can't forget to mention the amazing score for the film, which is a mix of blues, funk, and a truly haunting Swahili folk song which plays over the opening and end credits.

An absolute treat from start to finish, and aside from a few clichéd horror movie moments here and there, a true marvel of cinema. Definitely the sort of film to watch at least twice, as once you know the twist, you can go back and see the film from an entirely different perspective, and all the confusing pieces of the surrealist puzzle fall into place. That's all folks!"
745,"1/10 | (RATING: ☆☆☆☆ out of 5)

GRADE: B

THIS FILM IS RECOMMENDED

IN BRIEF: A scary but formulaic horror film that has more to say than just ""Boo!""

SYNOPSIS: An interracial couple visit the future in-laws with disastrous results.

JIM'S REVIEW: There is something decidedly off from the first moments of Get Out. An eerie feeling of dread and doom that follows its tale to its bloody ending. Critics have lauded comedian Jordan Peele's mash-up of various film genres, calling it a satirical political horror thriller And as the film's writer and director, he has successfully blended these elements most astutely. But, in his first feature, he still follows a safe formula that has been seen countless times in many other thrillers. It is not as original as reported, but it is highly entertaining.

￼Racism is at the core of this film and it is so subtly layered in the writing, direction, and performances, although script-wise, it loses its cleverness around the midway point and the twists and reveals were not so surprising to this reviewer.

Chris and Rose (Daniel Kaluuya, Allison Williams), an interracial couple decide to visit the Armitage family in the affluent countryside, a picture perfect community with no real diversity in sight, except for the few black servants who tend to their needs of their employers. Rose has not told her parents, Dean and Missy (Bradford Whitford, Catherine Keener) that her boyfriend is black, but assures Chris that they are an understanding liberally-minded family. He has no need to worry. Wrong, of course.

￼Paranoia quickly set in as Chris realizes that some of the town's African-American residents demonstrate odd behaviors and appearances. In the Armitage household, their slightly off-kilter son's behavior, Jeremy (Caleb Landry Jones), may also be misleading. The Stepford Wives / The Most Dangerous Game vibe is more than intentional as tensions begin to slowly build.

Get Out sends up that well-to-do white class privilege and their carefully hidden Trump values. Mr. Peale doesn't shy away from today's divisive climate and uses gallows humor to make his point. His sense of irony becomes grim as the horror elements begin to seep into the plot. His direction is skillfully handled as he creates the right atmosphere and rhythm for his film to jump-start the scares. There are plenty of well deserved jump-outta-your-seat moments to enjoy.

￼The actors underplay their roles which makes the film more disturbing and effective. Mr. Kaluuya is very good as Carl. He is instantly relatable and his nuanced performance is the major catalyst for the film's success. Ms. Williams has a nice counter balance as his girlfriend. Both Mr. Whitford and Ms. Keener, two always reliable actors, are subtly discomfiting as Rose's odd parents. But the standout performance is given by Betty Gabriel as Georgina, who simmers with restrained creepiness as the loyal maid. There is also fine support by Marcus Henderson and LiRel Howery, who contributes the needed comic relief to diffuse some of the tension.

￼The moviegoers in the theater were totally involved, extremely audible in their reactions to the action and gore. This demonstrative twenty-something crowd whooped and hollered their approval at every killing. They applauded numerous times at the bloody mayhem and laughed wholeheartedly at the comic relief sprinkled throughout the film. The film made the right impression with its target audience who all shared in the communal tension.

Get Out is a real crowd-pleaser, but the film is not breaking any new territory as many reviewers have suggested. It's just a well crafted suspenseful, if unoriginal, horror thriller which establishes Mr. Peele as a promising director. So get out, see this film, and have some fun!"
